,Date,TI,MA,cont,discrete
78,1993-04-09T20:00:00.000000000-0400,0.0969656394718,10.2040715381,,
79,1993-04-10T20:00:00.000000000-0400,0.0959012850488,9.81457805134,,
80,1993-04-11T20:00:00.000000000-0400,5.15129883409,9.98162190763,,
81,1993-04-12T20:00:00.000000000-0400,16.9610304724,10.542397451,,
82,1993-04-13T20:00:00.000000000-0400,10.1416914703,10.3445716665,,
83,1993-04-14T20:00:00.000000000-0400,19.7499702062,9.96968271885,,
84,1993-04-15T20:00:00.000000000-0400,10.1215608354,9.52722336092,,
85,1993-04-16T20:00:00.000000000-0400,0.0883055874087,9.03034178345,,
86,1993-04-17T20:00:00.000000000-0400,0.0874069341753,8.58745305662,,
87,1993-04-18T20:00:00.000000000-0400,14.3101910354,9.06014759225,,
88,1993-04-19T20:00:00.000000000-0400,3.33720212542,9.16713753389,,
89,1993-04-20T20:00:00.000000000-0400,3.95203726265,8.74461214428,,
90,1993-04-21T20:00:00.000000000-0400,6.82140708578,8.3615753498,,
91,1993-04-22T20:00:00.000000000-0400,15.3110345172,8.45736751705,,
92,1993-04-23T20:00:00.000000000-0400,0.0853382483019,7.722172701,,
93,1993-04-24T20:00:00.000000000-0400,0.0845253768795,7.51564834251,,
94,1993-04-25T20:00:00.000000000-0400,8.5933106626,7.79857160698,,
95,1993-04-26T20:00:00.000000000-0400,32.3045989364,8.87191644076,,
96,1993-04-27T20:00:00.000000000-0400,6.6821774562,8.84944128396,,
97,1993-04-28T20:00:00.000000000-0400,6.34988026125,8.65885414331,,
98,1993-04-29T20:00:00.000000000-0400,4.89646947143,7.71573802701,,
99,1993-04-30T20:00:00.000000000-0400,0.0673730563868,7.14859200399,,
100,1993-05-01T20:00:00.000000000-0400,0.066778522577,6.49083004221,,
101,1993-05-02T20:00:00.000000000-0400,11.1919419958,6.86075095061,,
102,1993-05-03T20:00:00.000000000-0400,9.55642036921,7.17619148826,,
103,1993-05-04T20:00:00.000000000-0400,5.73531824685,7.04495884871,,
104,1993-05-05T20:00:00.000000000-0400,9.05059714138,7.03937655788,,
105,1993-05-06T20:00:00.000000000-0400,5.95163677519,7.0536696168,,
106,1993-05-07T20:00:00.000000000-0400,0.0743981378013,6.91598595388,,
